"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020"

"Number of Occupants";"Geographic Location";"Total";"Less than 5 sq.m/ Less than 54 sq.ft.";"5 - 9 sq.m./ 54 - 107 sq.ft.";"10 - 19 sq.m./ 108 - 209 sq.ft.";"20 - 29 sq.m./ 210 - 317 sq.ft.";"30 - 49 sq.m./ 318 - 532 sq.ft.";"50 - 69 sq.m./ 533 - 748 sq.ft.";"70 - 89 sq.m./ 749 - 963 sq.ft.";"90 - 119 sq.m./ 964 - 1,286 sq.ft.";"120 - 149 sq.m./ 1,287 - 1,609 sq.ft.";"150 - 199 sq.m./ 1,610 - 2,147 sq.ft.";"200 sq.m. and over/ 2,148 sq.ft. and over";"Not Reported";"Not applicable"
"One Occupant";"....Sarangani";8497;757;2546;2711;1262;582;280;162;74;54;46;22;1;0
"One Occupant";"....South Cotabato *";21201;727;4169;7475;4165;2313;1074;488;361;235;126;58;9;1
"One Occupant";"....Sultan Kudarat";13845;475;3048;4409;3068;1467;682;305;183;99;49;53;7;0
"One Occupant";"....City of General Santos (Dadiangas)";15993;479;3234;4476;2782;2112;1388;656;440;220;78;100;19;9
"One Occupant";"..REGION XIII (CARAGA)";49922;2742;8073;12987;9637;6277;3675;2289;1677;1183;680;646;43;13
"One Occupant";"....Agusan del Norte *";6579;736;1457;1555;957;601;380;262;249;145;106;125;6;0
"One Occupant";"....Agusan del Sur";12876;201;2122;4690;2981;1573;617;341;146;110;52;30;8;5
"One Occupant";"....Dinagat Islands";2544;329;562;598;406;219;137;96;58;63;41;33;2;0
"One Occupant";"....Surigao del Norte";10173;870;1905;2215;1713;1263;723;497;359;308;166;147;5;2
"One Occupant";"....Surigao del Sur";10838;153;1199;2792;2589;1644;1029;528;384;234;152;128;3;3
"One Occupant";"....City of Butuan";6912;453;828;1137;991;977;789;565;481;323;163;183;19;3
"One Occupant";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";10246;288;950;1934;1748;1326;1131;1008;686;394;232;411;138;0
"One Occupant";"....Basilan";1343;28;102;351;377;273;111;52;22;12;6;5;4;0
"One Occupant";"....Lanao del Sur";892;32;85;127;140;140;135;56;61;49;27;29;11;0
"One Occupant";"....Maguindanao";3212;125;384;548;392;253;266;390;294;166;106;279;9;0
"One Occupant";"....Sulu";2406;43;211;649;493;313;178;168;114;58;41;25;113;0
"One Occupant";"....Tawi-Tawi";911;9;40;132;192;172;132;90;65;56;15;7;1;0
"One Occupant";"....Eight (8) Area Clusters ***";1482;51;128;127;154;175;309;252;130;53;37;66;0;0
"Two Occupants";"PHILIPPINES";3450644;98886;317085;631063;642455;640574;401891;245801;181854;115809;71182;76014;27744;286
"Two Occupants";"..NATIONAL CAPITAL REGION (NCR)";527465;11400;36931;87447;112586;105388;53769;28444;21449;17328;12455;15413;24786;69
"Two Occupants";"....City of Manila";79151;3047;8202;14844;16536;14301;7564;4041;3153;2431;1701;1288;2002;41
"Two Occupants";"....City of Mandaluyong";21238;346;1480;3660;4888;3658;2168;806;553;332;281;304;2758;4
"Two Occupants";"....City of Marikina";11721;136;382;1309;2833;2210;1362;915;624;587;487;872;4;0
"Two Occupants";"....City of Pasig";33255;351;1411;4870;7896;8444;3785;1988;1164;889;643;913;901;0
"Two Occupants";"....Quezon City";108065;2826;8785;17547;21648;22796;11380;5747;4294;3474;2811;4432;2319;6
"Two Occupants";"....City of San Juan";4607;108;295;664;786;753;517;305;206;199;123;161;488;2
"Two Occupants";"....City of Caloocan";47218;961;2646;6771;9445;10616;6012;3862;2694;2350;867;965;25;4
"Two Occupants";"....City of Malabon";11417;202;806;2776;3412;1957;1003;491;223;230;149;135;27;6
"Two Occupants";"....City of Navotas";7622;478;1018;1712;1320;1345;739;496;205;144;92;60;12;1
"Two Occupants";"....City of Valenzuela";27146;654;1463;5085;8322;5148;2315;1142;921;956;475;653;12;0
"Two Occupants";"....City of Las Piñas";23611;272;1013;2925;4573;4723;2691;1758;1490;1397;1266;1497;3;3
"Two Occupants";"....City of Makati";34621;348;1270;3872;4957;4680;2698;1289;1107;893;533;977;11996;1
"Two Occupants";"....City of Muntinlupa";21673;178;1236;3659;5017;5690;2137;1042;709;675;765;465;100;0
"Two Occupants";"....City of Parañaque";28716;634;2159;4765;5582;4551;2437;1529;1532;1284;1275;1842;1125;1
"Two Occupants";"....Pasay City";22049;267;2008;5106;4480;3548;1828;776;684;432;310;273;2337;0
"Two Occupants";"....City of Taguig";43383;579;2711;7582;10389;10423;4898;2135;1810;990;641;551;674;0
"Two Occupants";"....Pateros";1972;13;46;300;502;545;235;122;80;65;36;25;3;0
"Two Occupants";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";57038;174;1807;7681;12376;11721;8134;5128;4147;2432;1770;1654;4;10
"Two Occupants";"....Abra";7383;11;57;456;1595;1932;1153;788;610;372;202;205;2;0
"Two Occupants";"....Apayao";3419;21;307;703;881;634;349;221;141;86;44;32;0;0
"Two Occupants";"....Benguet *";15248;48;591;2741;3242;3006;2012;1197;1052;558;429;363;0;9
"Two Occupants";"....Ifugao";5286;30;262;1167;1572;958;568;294;174;127;68;64;2;0
"Two Occupants";"....Kalinga";4799;9;41;243;1552;1116;735;491;285;140;114;73;0;0
"Two Occupants";"....Mountain Province";4687;13;200;783;1100;924;664;403;300;161;96;43;0;0
"Two Occupants";"....City of Baguio";16216;42;349;1588;2434;3151;2653;1734;1585;988;817;874;0;1
"Two Occupants";"..REGION I (ILOCOS REGION)";166956;3708;11394;21780;30704;33524;24283;15701;11358;6908;3899;3544;142;11
"Two Occupants";"....Ilocos Norte";20550;201;862;2080;3978;4819;3071;2001;1598;926;545;469;0;0
"Two Occupants";"....Ilocos Sur";22161;925;2309;2798;2914;3699;2877;2193;1671;1197;758;817;3;0
"Two Occupants";"....La Union";26747;196;1059;3623;5667;5570;3961;2608;1846;1087;604;523;3;0
"Two Occupants";"....Pangasinan";97498;2386;7164;13279;18145;19436;14374;8899;6243;3698;1992;1735;136;11
"Two Occupants";"..REGION II (CAGAYAN VALLEY)";114182;2178;7576;16367;23403;25234;15232;9879;6588;3947;1964;1802;11;1
"Two Occupants";"....Batanes";910;45;74;118;127;188;112;59;73;42;39;31;1;1
"Two Occupants";"....Cagayan";35295;767;2847;6057;7422;7491;4042;2659;1835;1086;580;505;4;0
"Two Occupants";"....Isabela";53412;913;3170;7186;10559;12372;7587;4891;3127;1909;900;794;4;0
"Two Occupants";"....Nueva Vizcaya";18476;452;1462;2682;3111;3544;2610;1693;1290;769;408;453;2;0
"Two Occupants";"....Quirino";6089;1;23;324;2184;1639;881;577;263;141;37;19;0;0
"Two Occupants";"..REGION III (CENTRAL LUZON)";401568;7519;20303;49862;68684;86567;59659;38405;30010;17224;9961;12547;770;57
"Two Occupants";"....Aurora";7298;62;504;1312;1511;1508;1004;580;391;238;101;85;1;1
"Two Occupants";"....Bataan";29341;383;1313;3795;5081;5768;4696;2973;2242;1370;821;892;7;0
"Two Occupants";"....Bulacan";114635;1884;4842;12310;18898;31797;17787;9758;7049;4318;2566;2944;443;39
"Two Occupants";"....Nueva Ecija";78780;1856;5907;13359;16571;14412;9314;6356;4764;2834;1626;1751;29;1
"Two Occupants";"....Pampanga *";71673;1896;3025;5734;8713;12985;11425;8820;8494;4377;2490;3599;111;4
"Two Occupants";"....Tarlac";48149;773;2658;5669;8172;9455;7750;5118;3776;2186;1198;1267;122;5
"Two Occupants";"....Zambales *";24886;185;1460;4738;5706;5122;3250;1825;1303;662;340;280;13;2
"Two Occupants";"....City of Angeles";16729;454;218;1231;1742;3350;2903;2194;1497;855;644;1592;44;5
"Two Occupants";"....City of Olongapo";10077;26;376;1714;2290;2170;1530;781;494;384;175;137;0;0
"Two Occupants";"..REGION IV-A (CALABARZON)";556808;9002;25994;60432;85193;144609;89171;54006;37780;23243;13953;13082;269;74
"Two Occupants";"....Batangas";92706;2243;5741;11954;14618;18050;13792;9048;7280;4624;2706;2614;25;11
"Two Occupants";"....Cavite";153300;1312;4322;12484;22486;46369;26969;15953;10638;6291;3068;3163;189;56
"Two Occupants";"....Laguna";139406;2171;5140;11311;18570;39054;22909;15168;10489;6365;4626;3586;11;6
"Two Occupants";"....Quezon *";67227;1666;6594;14511;12960;11455;8408;4885;3315;1728;952;729;24;0
"Two Occupants";"....Rizal";95622;1563;3940;9348;15234;27408;15476;8060;5480;3869;2374;2851;18;1
"Two Occupants";"....City of Lucena";8547;47;257;824;1325;2273;1617;892;578;366;227;139;2;0
"Two Occupants";"..MIMAROPA REGION";110144;8457;19523;26352;19418;14523;8092;4849;3734;2469;1399;1269;59;0
"Two Occupants";"....Marinduque";9542;699;1468;2220;1592;1257;776;455;398;297;198;172;10;0
"Two Occupants";"....Occidental Mindoro";16988;768;2810;4230;3442;2328;1331;789;579;339;197;169;6;0
"Two Occupants";"....Oriental Mindoro";27647;953;3941;7079;5364;4183;2390;1348;1010;711;344;318;6;0
"Two Occupants";"....Palawan *";31576;4513;7749;7725;4822;3176;1415;735;527;398;262;229;25;0
"Two Occupants";"....Romblon";11180;310;1378;2655;2358;1759;932;655;474;295;186;173;5;0
"Two Occupants";"....City of Puerto Princesa";13211;1214;2177;2443;1840;1820;1248;867;746;429;212;208;7;0
"Two Occupants";"..REGION V (BICOL REGION)";158535;7384;22133;34278;30822;26176;14056;8653;6310;3996;2370;2241;112;4
"Two Occupants";"....Albay";34074;2365;5215;6076;5834;5763;3236;1988;1511;936;570;567;12;1
"Two Occupants";"....Camarines Norte";16444;201;1572;4083;3275;2898;1658;1121;683;545;230;169;9;0
"Two Occupants";"....Camarines Sur";53533;2537;7321;11126;10391;9073;5032;2878;2069;1351;863;819;72;1
"Two Occupants";"....Catanduanes";7190;59;410;1128;1341;1593;864;620;593;290;158;128;5;1
"Two Occupants";"....Masbate";25620;1635;5422;7605;5108;2532;1180;765;544;337;241;243;8;0
"Two Occupants";"....Sorsogon";21674;587;2193;4260;4873;4317;2086;1281;910;537;308;315;6;1
"Two Occupants";"..REGION VI (WESTERN VISAYAS)";247301;7771;29103;56489;45732;34710;25466;16488;12323;8092;5131;5756;232;8
"Two Occupants";"....Aklan";19567;161;1245;4562;4756;3282;2129;1197;940;556;372;362;5;0
"Two Occupants";"....Antique";19372;664;2948;5101;3846;2594;1550;963;764;431;243;247;20;1
"Two Occupants";"....Capiz";27445;794;3148;6960;5688;3918;2426;1438;1179;803;528;539;23;1
"Two Occupants";"....Guimaras";6570;234;1195;1731;1306;920;486;267;174;130;69;56;2;0
"Two Occupants";"....Iloilo *";69822;2414;8276;15497;12500;9851;6890;4703;3850;2470;1518;1728;122;3
"Two Occupants";"....Negros Occidental *";75390;3110;10878;19481;13824;9380;6585;4615;2928;2060;1192;1306;31;0
"Two Occupants";"....City of Bacolod";17441;307;866;1866;2421;2839;3296;1963;1479;914;673;808;6;3
"Two Occupants";"....City of Iloilo";11694;87;547;1291;1391;1926;2104;1342;1009;728;536;710;23;0
"Two Occupants";"..REGION VII (CENTRAL VISAYAS)";260916;13858;38261;62017;45005;36743;23868;13800;10586;6861;4413;5343;147;14
"Two Occupants";"....Bohol";43345;2009;5565;9866;7910;6408;3912;2503;1975;1271;851;994;78;3
"Two Occupants";"....Cebu *";101167;6320;15788;24055;16277;13191;9225;5511;4281;2785;1627;2074;32;1
"Two Occupants";"....Negros Oriental";44019;2910;8619;13558;6829;4377;2565;1572;1330;923;623;686;21;6
"Two Occupants";"....Siquijor";3792;28;188;867;999;745;366;225;169;94;62;48;0;1
"Two Occupants";"....City of Cebu";29533;793;2786;5363;5910;5298;3643;1778;1441;927;723;863;7;1
"Two Occupants";"....City of Lapu-Lapu (Opon)";20856;1050;2774;4231;3563;3675;2416;1342;768;480;262;295;0;0
"Two Occupants";"....City of Mandaue";18204;748;2541;4077;3517;3049;1741;869;622;381;265;383;9;2
"Two Occupants";"..REGION VIII (EASTERN VISAYAS)";151858;4653;16350;35271;31392;24568;14120;8996;6589;4435;2773;2640;65;6
"Two Occupants";"....Biliran";6216;46;303;1079;1571;1362;679;429;326;205;113;103;0;0
"Two Occupants";"....Eastern Samar";16468;140;813;2929;4173;3424;1938;1235;819;519;248;224;6;0
"Two Occupants";"....Leyte *";66961;2379;9223;17051;13155;8930;5436;3535;2646;1957;1225;1405;16;3
"Two Occupants";"....Northern Samar";16747;1548;3282;3527;2855;2572;1154;611;498;279;221;191;9;0
"Two Occupants";"....Samar (Western Samar)";24106;49;927;6552;5938;4448;2476;1633;1008;592;298;153;32;0
"Two Occupants";"....Southern Leyte";13836;395;1362;2997;2595;2318;1342;915;732;515;364;298;2;1
"Two Occupants";"....City of Tacloban";7524;96;440;1136;1105;1514;1095;638;560;368;304;266;0;2
"Two Occupants";"..REGION IX (ZAMBOANGA PENINSULA)";109152;2989;13756;28433;22313;14372;9410;6188;4776;2968;1769;2038;134;6
"Two Occupants";"....Zamboanga del Norte";32445;1850;6499;9790;5569;3295;1848;1161;971;597;374;474;17;0
"Two Occupants";"....Zamboanga del Sur *";29508;243;2847;9778;9423;3371;1558;925;611;384;199;161;6;2
"Two Occupants";"....Zamboanga Sibugay";18150;367;2878;5970;4050;2315;1070;612;342;259;129;112;46;0
"Two Occupants";"....City of Isabela **";2101;14;56;341;502;374;237;174;152;90;72;86;3;0
"Two Occupants";"....City of Zamboanga";26948;515;1476;2554;2769;5017;4697;3316;2700;1638;995;1205;62;4
"Two Occupants";"..REGION X (NORTHERN MINDANAO)";142199;4822;15849;32468;28368;20748;14805;9153;6836;4082;2557;2450;55;6
"Two Occupants";"....Bukidnon";35987;2319;6527;9300;6141;3870;2432;1831;1326;980;610;626;23;2
"Two Occupants";"....Camiguin";2895;36;181;417;403;486;398;279;280;162;129;124;0;0
"Two Occupants";"....Lanao del Norte *";17536;346;1833;4069;3880;2794;1815;1094;726;483;280;211;5;0
"Two Occupants";"....Misamis Occidental";19656;1144;3007;5053;3582;2384;1471;950;806;530;342;369;17;1
"Two Occupants";"....Misamis Oriental *";27543;445;2138;7911;6954;4211;2467;1411;979;466;306;247;6;2
"Two Occupants";"....City of Cagayan de Oro";27920;406;1527;4249;5839;5208;4428;2534;1824;895;542;464;3;1
"Two Occupants";"....City of Iligan";10662;126;636;1469;1569;1795;1794;1054;895;566;348;409;1;0
"Two Occupants";"..REGION XI (DAVAO REGION)";183608;7128;24349;42296;31357;25147;19240;11746;9776;5869;3623;2973;96;8
"Two Occupants";"....Davao de Oro (Compostela Valley)";24661;1262;4512;7458;5247;2708;1412;747;569;319;222;193;12;0
"Two Occupants";"....Davao del Norte";33258;1032;3273;8559;6617;5325;3275;1971;1555;743;493;384;30;1
"Two Occupants";"....Davao del Sur *";26914;1730;5049;7890;4749;2716;1542;1067;808;636;364;352;11;0
"Two Occupants";"....Davao Occidental";10876;348;3226;4347;1710;683;249;123;71;64;31;18;6;0
"Two Occupants";"....Davao Oriental";17526;394;2015;4561;3947;2302;1424;988;868;555;272;189;10;1
"Two Occupants";"....City of Davao";70373;2362;6274;9481;9087;11413;11338;6850;5905;3552;2241;1837;27;6
"Two Occupants";"..REGION XII (SOCCSKSARGEN)";134216;4281;21661;41305;28458;16978;9196;5190;3286;1935;999;890;30;7
"Two Occupants";"....Cotabato (North Cotabato)";40017;2563;8226;12315;7239;4043;2110;1371;903;557;346;327;10;7
"Two Occupants";"....Sarangani";15725;649;3701;5761;2785;1346;639;388;205;127;67;55;2;0
"Two Occupants";"....South Cotabato *";30736;384;3644;10106;7519;4392;2044;1047;722;465;225;186;2;0
"Two Occupants";"....Sultan Kudarat";24239;326;3314;7188;6463;3424;1618;842;462;302;165;126;9;0
"Two Occupants";"....City of General Santos (Dadiangas)";23499;359;2776;5935;4452;3773;2785;1542;994;484;196;196;7;0
"Two Occupants";"..REGION XIII (CARAGA)";85209;2526;9191;21270;17977;12803;7849;4836;3567;2425;1363;1344;54;4
"Two Occupants";"....Agusan del Norte *";11431;684;2025;2937;1930;1186;766;564;506;341;230;254;8;0
"Two Occupants";"....Agusan del Sur";21897;168;1948;7508;5913;3292;1585;659;403;225;112;72;11;1
"Two Occupants";"....Dinagat Islands";3867;313;704;1004;665;457;218;134;118;99;63;88;4;0
"Two Occupants";"....Surigao del Norte";16919;776;2370;3725;3095;2483;1478;1039;780;529;313;323;8;0
"Two Occupants";"....Surigao del Sur";19186;118;995;4232;4725;3701;2242;1275;780;544;318;250;4;2
"Two Occupants";"....City of Butuan";11909;467;1149;1864;1649;1684;1560;1165;980;687;327;357;19;1
"Two Occupants";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";43489;1036;2904;7315;8667;6763;5541;4339;2739;1595;783;1028;778;1
"Two Occupants";"....Basilan";4009;49;252;782;1112;909;422;261;118;53;22;18;11;0
"Two Occupants";"....Lanao del Sur";3703;76;165;393;532;591;615;463;329;245;113;150;31;0
"Two Occupants";"....Maguindanao";13912;257;1067;2403;2413;1760;1713;1657;1117;629;322;550;23;1
"Two Occupants";"....Sulu";11251;146;572;2294;2862;1814;1000;762;528;312;178;72;711;0
"Two Occupants";"....Tawi-Tawi";4664;18;200;643;1204;993;660;344;278;184;81;57;2;0
"Two Occupants";"....Eight (8) Area Clusters ***";5950;490;648;800;544;696;1131;852;369;172;67;181;0;0
"Three Occupants";"PHILIPPINES";4594629;116573;388414;832854;869151;883320;558408;341160;248616;151760;91085;93596;19448;244
"Three Occupants";"..NATIONAL CAPITAL REGION (NCR)";601510;11388;36565;94778;130867;129944;67500;36218;26246;20498;14296;17177;15973;60
"Three Occupants";"....City of Manila";81710;2661;7487;14880;17360;15944;8297;4690;3448;2295;1804;1267;1542;35
"Three Occupants";"....City of Mandaluyong";18556;279;1274;3534;4375;3455;2071;840;550;318;243;325;1290;2
"Three Occupants";"....City of Marikina";16376;183;436;1808;3949;3317;2036;1284;998;761;567;1034;2;1
"Three Occupants";"....City of Pasig";34641;298;1365;4836;8185;9127;4196;2193;1235;948;725;997;536;0
"Three Occupants";"....Quezon City";121379;2653;8265;18267;25130;27331;13618;6905;4906;4148;3254;5140;1757;5
"Three Occupants";"....City of San Juan";4896;93;263;599;896;853;567;349;256;226;168;167;457;2
"Three Occupants";"....City of Caloocan";81246;1501;3715;10265;15755;19373;11733;7237;4906;3807;1475;1431;47;1
"Three Occupants";"....City of Malabon";18102;243;1142;4451;5340;3282;1660;892;382;332;175;168;26;9
"Three Occupants";"....City of Navotas";11868;722;1574;2784;2110;1965;1202;804;286;197;126;82;16;0
"Three Occupants";"....City of Valenzuela";37257;751;1794;6615;11315;7654;3461;1618;1324;1272;647;794;12;0
"Three Occupants";"....City of Las Piñas";28183;253;1062;3446;5654;5974;3328;2083;1791;1529;1362;1699;2;0
"Three Occupants";"....City of Makati";26988;289;970;3078;4404;4270;2530;1214;996;705;470;755;7306;1
"Three Occupants";"....City of Muntinlupa";24505;125;1147;3674;5513;6751;2693;1232;903;861;910;594;102;0
"Three Occupants";"....City of Parañaque";28980;587;1932;4614;5713;5024;2800;1625;1609;1468;1363;1952;292;1
"Three Occupants";"....Pasay City";20965;222;1675;4737;4498;3691;1799;825;660;450;317;214;1875;2
"Three Occupants";"....City of Taguig";43435;521;2410;6884;9990;11264;5210;2268;1916;1101;642;518;710;1
"Three Occupants";"....Pateros";2423;7;54;306;680;669;299;159;80;80;48;40;1;0
"Three Occupants";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";71475;149;1586;8137;14913;15381;10761;7051;5791;3276;2298;2120;7;5
"Three Occupants";"....Abra";9872;14;66;466;2042;2840;1661;1122;759;431;254;212;5;0
"Three Occupants";"....Apayao";5080;34;303;1068;1327;1087;519;305;200;130;65;41;0;1
"Three Occupants";"....Benguet *";18286;30;399;2561;3555;3713;2659;1777;1562;871;604;551;0;4
"Three Occupants";"....Ifugao";7615;26;324;1538;2088;1472;966;490;306;157;120;126;2;0
"Three Occupants";"....Kalinga";6962;6;52;328;2029;1752;1073;736;493;241;155;97;0;0
"Three Occupants";"....Mountain Province";5414;13;189;883;1371;1031;746;473;373;171;108;56;0;0
"Three Occupants";"....City of Baguio";18246;26;253;1293;2501;3486;3137;2148;2098;1275;992;1037;0;0
"Three Occupants";"..REGION I (ILOCOS REGION)";234659;4713;14363;29056;43504;49587;35590;22858;15977;9239;4988;4608;170;6
"Three Occupants";"....Ilocos Norte";26003;230;956;2656;5339;6270;3806;2713;1865;1036;627;503;2;0
"Three Occupants";"....Ilocos Sur";29997;1157;3023;3617;3950;5373;4109;2976;2304;1558;929;999;2;0
"Three Occupants";"....La Union";37386;206;1280;4534;7708;8495;5768;3715;2648;1464;861;697;8;2
"Three Occupants";"....Pangasinan";141273;3120;9104;18249;26507;29449;21907;13454;9160;5181;2571;2409;158;4
"Three Occupants";"..REGION II (CAGAYAN VALLEY)";176388;2831;10324;24026;36511;41730;24280;15625;10036;5690;2852;2456;27;0
"Three Occupants";"....Batanes";1023;48;76;118;141;231;124;97;75;58;28;26;1;0
"Three Occupants";"....Cagayan";55914;1003;4065;9373;12036;12590;6603;4302;2719;1677;822;716;8;0
"Three Occupants";"....Isabela";85899;1277;4495;10736;17237;21162;12503;8050;5036;2856;1393;1142;12;0
"Three Occupants";"....Nueva Vizcaya";23898;500;1669;3464;3811;4909;3559;2296;1709;876;547;555;3;0
"Three Occupants";"....Quirino";9654;3;19;335;3286;2838;1491;880;497;223;62;17;3;0
"Three Occupants";"..REGION III (CENTRAL LUZON)";545383;9351;24555;63129;92591;123122;84494;53406;41598;23249;13248;15657;937;46
"Three Occupants";"....Aurora";11007;90;620;1884;2357;2319;1589;879;641;342;175;103;8;0
"Three Occupants";"....Bataan";37416;408;1471;4304;6426;7514;6262;3981;3075;1846;1033;1086;9;1
"Three Occupants";"....Bulacan";174326;2658;6755;17590;27855;50588;28515;15033;10589;6346;3684;4094;580;39
"Three Occupants";"....Nueva Ecija";103752;2199;7044;17018;21977;19835;12891;8513;6358;3616;2164;2087;49;1
"Three Occupants";"....Pampanga *";93154;2231;3736;7451;10958;16916;14957;11717;11633;5779;3290;4396;90;0
"Three Occupants";"....Tarlac";62255;864;3053;6879;10784;12249;10366;6953;5010;2893;1545;1516;141;2
"Three Occupants";"....Zambales *";31816;190;1338;5354;7768;7107;4429;2455;1667;813;374;304;16;1
"Three Occupants";"....City of Angeles";19600;668;215;1148;1776;3777;3528;2738;1909;1202;742;1851;44;2
"Three Occupants";"....City of Olongapo";12057;43;323;1501;2690;2817;1957;1137;716;412;241;220;0;0
"Three Occupants";"..REGION IV-A (CALABARZON)";686960;9872;29009;70400;101524;183631;114933;69151;48091;28258;16725;14967;339;60
"Three Occupants";"....Batangas";118773;2730;6975;14926;18937;23203;18565;11979;9296;5771;3284;3065;29;13
"Three Occupants";"....Cavite";189324;1431;4549;13188;25376;59834;34899;21101;13792;7663;3789;3450;214;38
"Three Occupants";"....Laguna";157481;2067;5229;11828;19743;44937;27213;17885;12434;7112;5221;3787;21;4
"Three Occupants";"....Quezon *";84252;1725;7636;18175;16553;14866;11011;6028;4166;2116;1071;857;47;1
"Three Occupants";"....Rizal";126250;1866;4377;11396;19253;37807;21126;10990;7547;5150;3094;3613;27;4
"Three Occupants";"....City of Lucena";10880;53;243;887;1662;2984;2119;1168;856;446;266;195;1;0
"Three Occupants";"..MIMAROPA REGION";147857;10298;25306;36527;26839;19974;10947;6466;4998;3201;1687;1545;69;0
"Three Occupants";"....Marinduque";10478;789;1712;2563;1678;1356;832;482;421;301;177;163;4;0
"Three Occupants";"....Occidental Mindoro";24080;841;3783;6203;5035;3466;1919;1058;810;456;296;208;5;0
"Three Occupants";"....Oriental Mindoro";37861;1142;5090;9971;7699;5841;3229;1840;1361;899;406;378;5;0
"Three Occupants";"....Palawan *";44507;5816;10634;11361;7077;4515;2045;1131;712;588;281;307;40;0
"Three Occupants";"....Romblon";13933;304;1690;3368;2921;2331;1226;772;617;321;197;182;4;0
"Three Occupants";"....City of Puerto Princesa";16998;1406;2397;3061;2429;2465;1696;1183;1077;636;330;307;11;0
"Three Occupants";"..REGION V (BICOL REGION)";224910;9109;28630;48867;45981;38256;20128;12408;9226;5673;3396;3073;160;3
"Three Occupants";"....Albay";54103;3341;7912;9972;9453;9235;5260;3083;2573;1444;922;881;27;0
"Three Occupants";"....Camarines Norte";24862;206;1866;5958;5372;4647;2490;1751;1196;745;347;265;18;1
"Three Occupants";"....Camarines Sur";69704;2822;8644;14617;14312;12216;6465;3887;2771;1772;1101;1021;74;2
"Three Occupants";"....Catanduanes";9402;51;427;1441;1989;2094;1159;822;662;374;214;162;7;0
"Three Occupants";"....Masbate";35324;1887;6987;10709;7200;3707;1764;1105;687;573;334;355;16;0
"Three Occupants";"....Sorsogon";31515;802;2794;6170;7655;6357;2990;1760;1337;765;478;389;18;0
"Three Occupants";"..REGION VI (WESTERN VISAYAS)";370824;9793;39358;84681;69408;54058;40152;26024;19497;12032;7488;8017;305;11
"Three Occupants";"....Aklan";28595;179;1363;6186;7075;5343;3305;1796;1458;830;549;498;13;0
"Three Occupants";"....Antique";25883;692;3586;6937;5114;3430;2274;1353;1135;611;352;376;23;0
"Three Occupants";"....Capiz";40568;958;3918;10068;8580;6118;3814;2387;1881;1226;819;764;34;1
"Three Occupants";"....Guimaras";8888;249;1406;2368;1807;1362;695;369;276;167;107;78;4;0
"Three Occupants";"....Iloilo *";96897;2601;9936;20825;17827;14581;10264;6906;5709;3486;2115;2472;169;6
"Three Occupants";"....Negros Occidental *";127478;4668;17520;34203;23749;16039;11164;7889;5200;3343;1864;1813;26;0
"Three Occupants";"....City of Bacolod";26316;351;1075;2481;3441;4467;5396;3371;2332;1368;922;1102;9;1
"Three Occupants";"....City of Iloilo";16199;95;554;1613;1815;2718;3240;1953;1506;1001;760;914;27;3
"Three Occupants";"..REGION VII (CENTRAL VISAYAS)";351882;16575;48763;83640;61583;51209;34324;19532;14426;9138;5752;6748;183;9
"Three Occupants";"....Bohol";52215;2265;6460;11768;9721;7776;4879;3076;2374;1518;1075;1229;73;1
"Three Occupants";"....Cebu *";145416;8148;21706;34653;23522;19657;14261;8381;6133;3933;2255;2712;50;5
"Three Occupants";"....Negros Oriental";68078;3958;12954;21438;10977;6825;4059;2518;2040;1414;911;936;46;2
"Three Occupants";"....Siquijor";4818;27;130;790;1495;1050;524;291;225;140;87;59;0;0
"Three Occupants";"....City of Cebu";38710;944;3322;6887;7911;7307;5151;2331;1924;1108;812;1005;8;0
"Three Occupants";"....City of Lapu-Lapu (Opon)";23690;699;2124;4144;4128;4974;3457;1816;1006;625;335;381;1;0
"Three Occupants";"....City of Mandaue";18955;534;2067;3960;3829;3620;1993;1119;724;400;277;426;5;1
"Three Occupants";"..REGION VIII (EASTERN VISAYAS)";183390;4924;17255;41445;39015;31311;18060;11415;8148;5365;3376;3000;73;3
"Three Occupants";"....Biliran";7489;57;297;1101;1953;1753;863;548;401;257;140;117;2;0
"Three Occupants";"....Eastern Samar";20027;134;808;3277;5181;4364;2457;1579;1004;625;347;246;5;0
"Three Occupants";"....Leyte *";78260;2250;9370;19660;15930;11121;6900;4376;3272;2337;1519;1504;19;2
"Three Occupants";"....Northern Samar";22046;1860;3935;4928;3963;3593;1444;857;584;400;267;205;10;0
"Three Occupants";"....Samar (Western Samar)";30011;69;808;7714;7652;5743;3230;2211;1323;701;353;174;33;0
"Three Occupants";"....Southern Leyte";16713;426;1574;3542;3066;2882;1765;1060;933;621;392;450;2;0
"Three Occupants";"....City of Tacloban";8844;128;463;1223;1270;1855;1401;784;631;424;358;304;2;1
"Three Occupants";"..REGION IX (ZAMBOANGA PENINSULA)";151417;3250;14816;37594;33395;21544;14561;9523;7146;4273;2462;2666;185;2
