"Number of Establishments Employing 20 or More Workers With Productivity Improvement Programs (PIPs) by Extent PIP Objective Was Met and Major Industry Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/3501B3GP06b.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Productivity Improvement Programs (PIPs)";"Extent PIP Objective Was Met";"2013"
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Customer Complaints";"..99% - 50%";2045
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Customer Complaints";"..Below 50%";288
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Personnel Downtime";"Total";1109
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Personnel Downtime";"..100%";229
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Personnel Downtime";"..99% - 50%";795
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Personnel Downtime";"..Below 50%";85
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Machine Downtime";"Total";619
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Machine Downtime";"..100%";136
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Machine Downtime";"..99% - 50%";399
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Machine Downtime";"..Below 50%";84
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Rework";"Total";718
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Rework";"..100%";156
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduction of Rework";"..99% - 50%";480
