"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Occupied Housing Units";"Number of Households /a";"Household Population /a"
"Apartment/accessoria/rowhouse";"....City of Makati";29614;30757;99638
"Apartment/accessoria/rowhouse";"....City of Muntinlupa";25944;27442;93832
"Apartment/accessoria/rowhouse";"....City of Parañaque";19490;20751;71028
"Apartment/accessoria/rowhouse";"....Pasay City";31761;34291;111964
"Apartment/accessoria/rowhouse";"....City of Taguig";50869;53230;179814
"Apartment/accessoria/rowhouse";"....Pateros";2696;2835;10921
"Apartment/accessoria/rowhouse";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";24358;24998;78839
"Apartment/accessoria/rowhouse";"....Abra";76;76;225
"Apartment/accessoria/rowhouse";"....Apayao";5;5;21
"Apartment/accessoria/rowhouse";"....Benguet *";7599;7722;24399
"Apartment/accessoria/rowhouse";"....Ifugao";94;97;306
"Apartment/accessoria/rowhouse";"....Kalinga";35;35;102
"Apartment/accessoria/rowhouse";"....Mountain Province";192;194;616
"Apartment/accessoria/rowhouse";"....City of Baguio";16357;16869;53170
"Apartment/accessoria/rowhouse";"..REGION I (ILOCOS REGION)";10531;10913;37740
"Apartment/accessoria/rowhouse";"....Ilocos Norte";1504;1562;5357
"Apartment/accessoria/rowhouse";"....Ilocos Sur";666;731;2836
"Apartment/accessoria/rowhouse";"....La Union";2736;2816;9434
"Apartment/accessoria/rowhouse";"....Pangasinan";5625;5804;20113
"Apartment/accessoria/rowhouse";"..REGION II (CAGAYAN VALLEY)";7235;7407;24732
"Apartment/accessoria/rowhouse";"....Batanes";0;0;0
"Apartment/accessoria/rowhouse";"....Cagayan";1968;2005;6850
"Apartment/accessoria/rowhouse";"....Isabela";3203;3282;11161
"Apartment/accessoria/rowhouse";"....Nueva Vizcaya";2026;2082;6605
"Apartment/accessoria/rowhouse";"....Quirino";38;38;116
"Apartment/accessoria/rowhouse";"..REGION III (CENTRAL LUZON)";243426;255299;987018
"Apartment/accessoria/rowhouse";"....Aurora";396;396;1392
"Apartment/accessoria/rowhouse";"....Bataan";14060;14436;49071
"Apartment/accessoria/rowhouse";"....Bulacan";167898;176828;707213
"Apartment/accessoria/rowhouse";"....Nueva Ecija";7295;7468;26894
"Apartment/accessoria/rowhouse";"....Pampanga *";24394;25539;96083
"Apartment/accessoria/rowhouse";"....Tarlac";5144;5202;19129
"Apartment/accessoria/rowhouse";"....Zambales *";3721;3768;12954
"Apartment/accessoria/rowhouse";"....City of Angeles";8833;9245;32403
"Apartment/accessoria/rowhouse";"....City of Olongapo";11685;12417;41879
"Apartment/accessoria/rowhouse";"..REGION IV-A (CALABARZON)";664915;708726;2619761
"Apartment/accessoria/rowhouse";"....Batangas";56670;59521;207849
"Apartment/accessoria/rowhouse";"....Cavite";288916;300282;1138187
"Apartment/accessoria/rowhouse";"....Laguna";193312;217513;739304
"Apartment/accessoria/rowhouse";"....Quezon *";9481;9796;36182
"Apartment/accessoria/rowhouse";"....Rizal";112508;117454;482613
"Apartment/accessoria/rowhouse";"....City of Lucena";4028;4160;15626
"Apartment/accessoria/rowhouse";"..MIMAROPA REGION";11416;11537;36698
"Apartment/accessoria/rowhouse";"....Marinduque";212;217;695
"Apartment/accessoria/rowhouse";"....Occidental Mindoro";846;851;2803
"Apartment/accessoria/rowhouse";"....Oriental Mindoro";4816;4851;17000
"Apartment/accessoria/rowhouse";"....Palawan *";1795;1809;5748
"Apartment/accessoria/rowhouse";"....Romblon";471;477;1765
"Apartment/accessoria/rowhouse";"....City of Puerto Princesa";3276;3332;8687
"Apartment/accessoria/rowhouse";"..REGION V (BICOL REGION)";12854;13043;49353
"Apartment/accessoria/rowhouse";"....Albay";1901;1962;6988
"Apartment/accessoria/rowhouse";"....Camarines Norte";2132;2171;8069
"Apartment/accessoria/rowhouse";"....Camarines Sur";7233;7304;28450
"Apartment/accessoria/rowhouse";"....Catanduanes";155;157;528
"Apartment/accessoria/rowhouse";"....Masbate";486;493;1823
"Apartment/accessoria/rowhouse";"....Sorsogon";947;956;3495
"Apartment/accessoria/rowhouse";"..REGION VI (WESTERN VISAYAS)";32007;32451;120192
"Apartment/accessoria/rowhouse";"....Aklan";1878;1896;6921
"Apartment/accessoria/rowhouse";"....Antique";584;585;2160
"Apartment/accessoria/rowhouse";"....Capiz";3832;3863;13698
"Apartment/accessoria/rowhouse";"....Guimaras";37;37;107
"Apartment/accessoria/rowhouse";"....Iloilo *";8635;8671;32675
"Apartment/accessoria/rowhouse";"....Negros Occidental *";10644;10803;41957
