"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Email/Chat";"..Financial and Insurance Activities";61
"Email/Chat";"..Real Estate Activities";26
"Email/Chat";"..Professional, Scientific and Technical Activities";28
"Email/Chat";"..Administrative and Support Service Activities";118
"Email/Chat";"..Education Except Public Education";150
"Email/Chat";"..Human Health and Social Work Activities Except Public Health Activities";52
"Email/Chat";"..Arts, Entertainment and  Recreation";7
"Email/Chat";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";17
"Friend/Relatives";"ALL INDUSTRIES";1564
"Friend/Relatives";"..Agriculture, Forestry and Fishing";44
"Friend/Relatives";"..Mining and Quarrying";..
"Friend/Relatives";"..Manufacturing";282
"Friend/Relatives";"..Electricity, Gas, Steam and Air Conditioning Supply";2
"Friend/Relatives";"..Water Supply; Sewerage, Waste Management and Remediation Activities";19
"Friend/Relatives";"..Construction";47
"Friend/Relatives";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";372
"Friend/Relatives";"..Transportation and Storage";47
"Friend/Relatives";"..Accommodation and Food Service Activities";213
"Friend/Relatives";"..Information and Communication";31
"Friend/Relatives";"..Financial and Insurance Activities";43
"Friend/Relatives";"..Real Estate Activities";7
"Friend/Relatives";"..Professional, Scientific and Technical Activities";13
"Friend/Relatives";"..Administrative and Support Service Activities";87
"Friend/Relatives";"..Education Except Public Education";247
"Friend/Relatives";"..Human Health and Social Work Activities Except Public Health Activities";80
"Friend/Relatives";"..Arts, Entertainment and  Recreation";5
"Friend/Relatives";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";24
"Labor union/association";"ALL INDUSTRIES";766
"Labor union/association";"..Agriculture, Forestry and Fishing";40
"Labor union/association";"..Mining and Quarrying";5
"Labor union/association";"..Manufacturing";194
"Labor union/association";"..Electricity, Gas, Steam and Air Conditioning Supply";20
"Labor union/association";"..Water Supply; Sewerage, Waste Management and Remediation Activities";4
"Labor union/association";"..Construction";20
"Labor union/association";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";82
"Labor union/association";"..Transportation and Storage";29
"Labor union/association";"..Accommodation and Food Service Activities";197
"Labor union/association";"..Information and Communication";5
"Labor union/association";"..Financial and Insurance Activities";44
"Labor union/association";"..Real Estate Activities";..
"Labor union/association";"..Professional, Scientific and Technical Activities";12
"Labor union/association";"..Administrative and Support Service Activities";22
"Labor union/association";"..Education Except Public Education";54
"Labor union/association";"..Human Health and Social Work Activities Except Public Health Activities";26
"Labor union/association";"..Arts, Entertainment and  Recreation";13
"Labor union/association";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Newspaper";"ALL INDUSTRIES";2508
"Newspaper";"..Agriculture, Forestry and Fishing";54
