"Number of Households by Type of Building, Tenure Status of the Housing Unit/Lot, and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0061A6DTSH0.px/table/tableViewLayout1/?rxid=1e078637-ce19-499c-bf41-a4d1a933957b"
"Tenure Status of the Housing Unit/Lot";"Geographic Location";"All Types of Building";"Single House";"Duplex";"Apartment/ accessoria/rowhouse";"Condominium/ condotel";"Other multi-unit residential";"Commercial/ industrial/agricultural";"Institutional living quarter";"Other types of building";"Not Reported"
"Own house rent-free lot without consent of owner";"....Laguna";16387;13628;1164;1209;0;381;4;1;0;0
"Own house rent-free lot without consent of owner";"....Quezon *";13863;12994;601;79;0;179;10;0;0;0
"Own house rent-free lot without consent of owner";"....Rizal";10250;9311;341;447;0;149;2;0;0;0
"Own house rent-free lot without consent of owner";"....City of Lucena";2467;2380;53;18;0;16;0;0;0;0
"Own house rent-free lot without consent of owner";"..MIMAROPA REGION";15593;15182;269;53;0;74;14;1;0;0
"Own house rent-free lot without consent of owner";"....Marinduque";801;794;5;0;0;1;1;0;0;0
"Own house rent-free lot without consent of owner";"....Occidental Mindoro";2048;2027;16;1;0;4;0;0;0;0
"Own house rent-free lot without consent of owner";"....Oriental Mindoro";2978;2911;45;17;0;2;3;0;0;0
"Own house rent-free lot without consent of owner";"....Palawan *";4844;4813;19;2;0;1;8;1;0;0
"Own house rent-free lot without consent of owner";"....Romblon";614;603;9;2;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Puerto Princesa";4308;4034;175;31;0;66;2;0;0;0
"Own house rent-free lot without consent of owner";"..REGION V (BICOL REGION)";23655;22882;516;76;0;164;17;0;0;0
"Own house rent-free lot without consent of owner";"....Albay";7974;7625;215;24;0;108;2;0;0;0
"Own house rent-free lot without consent of owner";"....Camarines Norte";3069;3002;50;14;0;2;1;0;0;0
"Own house rent-free lot without consent of owner";"....Camarines Sur";6676;6454;156;30;0;27;9;0;0;0
"Own house rent-free lot without consent of owner";"....Catanduanes";602;597;3;1;0;0;1;0;0;0
"Own house rent-free lot without consent of owner";"....Masbate";2136;2122;8;1;0;4;1;0;0;0
"Own house rent-free lot without consent of owner";"....Sorsogon";3198;3082;84;6;0;23;3;0;0;0
"Own house rent-free lot without consent of owner";"..REGION VI (WESTERN VISAYAS)";43307;42454;547;84;0;192;28;2;0;0
"Own house rent-free lot without consent of owner";"....Aklan";2071;2050;11;2;0;7;1;0;0;0
"Own house rent-free lot without consent of owner";"....Antique";1634;1599;23;0;0;11;1;0;0;0
"Own house rent-free lot without consent of owner";"....Capiz";2978;2915;51;2;0;10;0;0;0;0
"Own house rent-free lot without consent of owner";"....Guimaras";1037;1037;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Iloilo *";5950;5861;53;14;0;21;1;0;0;0
"Own house rent-free lot without consent of owner";"....Negros Occidental *";11968;11733;152;25;0;43;15;0;0;0
"Own house rent-free lot without consent of owner";"....City of Bacolod";9751;9510;149;28;0;58;5;1;0;0
"Own house rent-free lot without consent of owner";"....City of Iloilo";7918;7749;108;13;0;42;5;1;0;0
"Own house rent-free lot without consent of owner";"..REGION VII (CENTRAL VISAYAS)";38740;37163;684;321;0;555;13;3;0;1
"Own house rent-free lot without consent of owner";"....Bohol";2581;2537;25;3;0;10;6;0;0;0
"Own house rent-free lot without consent of owner";"....Cebu *";10145;9826;178;63;0;76;2;0;0;0
"Own house rent-free lot without consent of owner";"....Negros Oriental";5043;4950;56;1;0;32;3;0;0;1
"Own house rent-free lot without consent of owner";"....Siquijor";155;155;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Cebu";10910;10209;293;95;0;308;2;3;0;0
"Own house rent-free lot without consent of owner";"....City of Lapu-Lapu (Opon)";6515;6265;89;89;0;72;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Mandaue";3391;3221;43;70;0;57;0;0;0;0
"Own house rent-free lot without consent of owner";"..REGION VIII (EASTERN VISAYAS)";16531;16189;229;47;0;61;5;0;0;0
"Own house rent-free lot without consent of owner";"....Biliran";536;534;1;1;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Eastern Samar";1599;1572;17;2;0;8;0;0;0;0
"Own house rent-free lot without consent of owner";"....Leyte *";5892;5762;93;16;0;19;2;0;0;0
"Own house rent-free lot without consent of owner";"....Northern Samar";1958;1926;29;0;0;3;0;0;0;0
"Own house rent-free lot without consent of owner";"....Samar (Western Samar)";3515;3425;51;14;0;25;0;0;0;0
"Own house rent-free lot without consent of owner";"....Southern Leyte";1158;1141;11;3;0;2;1;0;0;0
"Own house rent-free lot without consent of owner";"....City of Tacloban";1873;1829;27;11;0;4;2;0;0;0
"Own house rent-free lot without consent of owner";"..REGION IX (ZAMBOANGA PENINSULA)";17608;17091;294;61;0;150;11;1;0;0
"Own house rent-free lot without consent of owner";"....Zamboanga del Norte";3098;3042;29;11;0;14;1;1;0;0
"Own house rent-free lot without consent of owner";"....Zamboanga del Sur *";2868;2856;4;2;0;6;0;0;0;0
"Own house rent-free lot without consent of owner";"....Zamboanga Sibugay";4097;3977;88;1;0;22;9;0;0;0
"Own house rent-free lot without consent of owner";"....City of Isabela **";513;495;8;2;0;8;0;0;0;0
"Own house rent-free lot without consent of owner";"....City of Zamboanga";7032;6721;165;45;0;100;1;0;0;0
"Own house rent-free lot without consent of owner";"..REGION X (NORTHERN MINDANAO)";24260;23261;499;74;0;411;12;3;0;0
"Own house rent-free lot without consent of owner";"....Bukidnon";5319;5215;76;2;0;23;2;1;0;0
"Own house rent-free lot without consent of owner";"....Camiguin";165;165;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Lanao del Norte *";2068;2035;17;1;0;14;0;1;0;0
"Own house rent-free lot without consent of owner";"....Misamis Occidental";1725;1641;36;16;0;32;0;0;0;0
"Own house rent-free lot without consent of owner";"....Misamis Oriental *";3110;3002;76;4;0;23;5;0;0;0
"Own house rent-free lot without consent of owner";"....City of Cagayan de Oro";9743;9275;177;28;0;257;5;1;0;0
"Own house rent-free lot without consent of owner";"....City of Iligan";2130;1928;117;23;0;62;0;0;0;0
"Own house rent-free lot without consent of owner";"..REGION XI (DAVAO REGION)";26555;25694;437;110;0;298;13;3;0;0
"Own house rent-free lot without consent of owner";"....Davao de Oro (Compostela Valley)";3075;2968;77;3;0;24;2;1;0;0
"Own house rent-free lot without consent of owner";"....Davao del Norte";3949;3811;62;30;0;43;1;2;0;0
"Own house rent-free lot without consent of owner";"....Davao del Sur *";3032;2990;26;4;0;12;0;0;0;0
"Own house rent-free lot without consent of owner";"....Davao Occidental";643;643;0;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Davao Oriental";3093;2992;68;8;0;24;1;0;0;0
"Own house rent-free lot without consent of owner";"....City of Davao";12763;12290;204;65;0;195;9;0;0;0
"Own house rent-free lot without consent of owner";"..REGION XII (SOCCSKSARGEN)";17350;16976;185;108;0;72;8;1;0;0
"Own house rent-free lot without consent of owner";"....Cotabato (North Cotabato)";3956;3862;42;10;0;42;0;0;0;0
"Own house rent-free lot without consent of owner";"....Sarangani";3040;3015;17;0;0;7;1;0;0;0
"Own house rent-free lot without consent of owner";"....South Cotabato *";2557;2516;16;17;0;4;3;1;0;0
"Own house rent-free lot without consent of owner";"....Sultan Kudarat";2357;2319;27;4;0;5;2;0;0;0
"Own house rent-free lot without consent of owner";"....City of General Santos (Dadiangas)";5440;5264;83;77;0;14;2;0;0;0
"Own house rent-free lot without consent of owner";"..REGION XIII (CARAGA)";15497;15220;180;21;0;69;6;1;0;0
"Own house rent-free lot without consent of owner";"....Agusan del Norte *";1160;1125;22;6;0;7;0;0;0;0
"Own house rent-free lot without consent of owner";"....Agusan del Sur";4448;4416;27;0;0;3;2;0;0;0
"Own house rent-free lot without consent of owner";"....Dinagat Islands";343;341;2;0;0;0;0;0;0;0
"Own house rent-free lot without consent of owner";"....Surigao del Norte";2585;2555;22;4;0;3;1;0;0;0
"Own house rent-free lot without consent of owner";"....Surigao del Sur";2849;2796;41;1;0;10;0;1;0;0
"Own house rent-free lot without consent of owner";"....City of Butuan";4112;3987;66;10;0;46;3;0;0;0
"Own house rent-free lot without consent of owner";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";14561;14403;82;4;0;67;5;0;0;0
"Own house rent-free lot without consent of owner";"....Basilan";1572;1559;5;0;0;8;0;0;0;0
"Own house rent-free lot without consent of owner";"....Lanao del Sur";921;911;8;0;0;2;0;0;0;0
"Own house rent-free lot without consent of owner";"....Maguindanao";6452;6377;38;1;0;34;2;0;0;0
"Own house rent-free lot without consent of owner";"....Sulu";1724;1713;6;0;0;5;0;0;0;0
"Own house rent-free lot without consent of owner";"....Tawi-Tawi";785;776;3;3;0;0;3;0;0;0
"Own house rent-free lot without consent of owner";"....Eight (8) Area Clusters ***";3107;3067;22;0;0;18;0;0;0;0
"Rent house/room including lot";"PHILIPPINES /a";2859106;1609023;186486;810397;34831;206221;11265;870;0;13
"Rent house/room including lot";"..NATIONAL CAPITAL REGION (NCR)";1137767;580530;55902;318947;31669;146615;3935;160;0;9
"Rent house/room including lot";"....City of Manila";188103;81572;5817;28165;7081;64772;625;71;0;0
"Rent house/room including lot";"....City of Mandaluyong";39319;15738;1097;5789;5848;10776;68;3;0;0
"Rent house/room including lot";"....City of Marikina";25441;14816;1932;7844;66;695;87;1;0;0
"Rent house/room including lot";"....City of Pasig";74358;33910;4908;24004;3034;8335;163;4;0;0
"Rent house/room including lot";"....Quezon City";213194;127645;10356;58097;4688;11357;1019;23;0;9
"Rent house/room including lot";"....City of San Juan";11513;5006;285;2618;372;3191;40;1;0;0
"Rent house/room including lot";"....City of Caloocan";108444;64690;6302;30974;505;5576;396;1;0;0
"Rent house/room including lot";"....City of Malabon";25164;18376;1051;4875;23;670;168;1;0;0
"Rent house/room including lot";"....City of Navotas";15713;10925;627;2395;0;1735;31;0;0;0
"Rent house/room including lot";"....City of Valenzuela";83228;34814;5716;37810;220;4247;412;9;0;0
"Rent house/room including lot";"....City of Las Piñas";43569;26687;2921;11497;364;1889;201;10;0;0
"Rent house/room including lot";"....City of Makati";56675;25152;2092;18040;2767;8527;93;4;0;0
"Rent house/room including lot";"....City of Muntinlupa";48216;25535;2370;17681;698;1847;85;0;0;0
"Rent house/room including lot";"....City of Parañaque";55820;35350;2301;13099;1370;3442;234;24;0;0
"Rent house/room including lot";"....Pasay City";55588;23299;1749;23086;3495;3709;245;5;0;0
"Rent house/room including lot";"....City of Taguig";88994;34974;5965;31122;1138;15726;66;3;0;0
"Rent house/room including lot";"....Pateros";4428;2041;413;1851;0;121;2;0;0;0
"Rent house/room including lot";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";58487;37960;603;18898;461;203;339;23;0;0
"Rent house/room including lot";"....Abra";907;819;23;46;0;9;4;6;0;0
"Rent house/room including lot";"....Apayao";232;213;2;3;0;5;9;0;0;0
"Rent house/room including lot";"....Benguet *";18186;11901;104;6067;0;8;97;9;0;0
"Rent house/room including lot";"....Ifugao";1222;1106;27;53;0;31;5;0;0;0
"Rent house/room including lot";"....Kalinga";1289;1230;9;22;0;22;6;0;0;0
"Rent house/room including lot";"....Mountain Province";1836;1573;18;148;0;86;4;7;0;0
"Rent house/room including lot";"....City of Baguio";34815;21118;420;12559;461;42;214;1;0;0
"Rent house/room including lot";"..REGION I (ILOCOS REGION)";37498;27231;2457;6292;1;1201;294;22;0;0
"Rent house/room including lot";"....Ilocos Norte";4940;3304;342;997;1;249;46;1;0;0
"Rent house/room including lot";"....Ilocos Sur";2814;2222;136;286;0;134;34;2;0;0
"Rent house/room including lot";"....La Union";7642;5392;523;1529;0;145;38;15;0;0
"Rent house/room including lot";"....Pangasinan";22102;16313;1456;3480;0;673;176;4;0;0
"Rent house/room including lot";"..REGION II (CAGAYAN VALLEY)";24147;17303;1685;4003;0;778;366;12;0;0
"Rent house/room including lot";"....Batanes";772;757;5;0;0;9;0;1;0;0
"Rent house/room including lot";"....Cagayan";5913;4068;396;1176;0;169;100;4;0;0
"Rent house/room including lot";"....Isabela";10357;7667;779;1443;0;377;86;5;0;0
"Rent house/room including lot";"....Nueva Vizcaya";6060;3854;477;1366;0;205;156;2;0;0
"Rent house/room including lot";"....Quirino";1045;957;28;18;0;18;24;0;0;0
"Rent house/room including lot";"..REGION III (CENTRAL LUZON)";304085;159659;26449;105670;112;10871;1299;25;0;0
"Rent house/room including lot";"....Aurora";2135;1798;74;222;0;10;30;1;0;0
"Rent house/room including lot";"....Bataan";27320;14387;2656;9688;0;500;87;2;0;0
"Rent house/room including lot";"....Bulacan";147765;65578;13266;64853;84;3462;509;13;0;0
"Rent house/room including lot";"....Nueva Ecija";19929;13394;1474;4302;2;559;195;3;0;0
"Rent house/room including lot";"....Pampanga *";37154;22199;3124;9417;0;2294;118;2;0;0
"Rent house/room including lot";"....Tarlac";13230;9368;1117;2216;20;434;75;0;0;0
"Rent house/room including lot";"....Zambales *";11521;8129;1160;1756;0;443;32;1;0;0
"Rent house/room including lot";"....City of Angeles";24125;15104;1806;5245;3;1819;146;2;0;0
"Rent house/room including lot";"....City of Olongapo";20906;9702;1772;7971;3;1350;107;1;0;0
"Rent house/room including lot";"..REGION IV-A (CALABARZON)";666228;312429;67897;265461;1273;17672;1449;46;0;1
"Rent house/room including lot";"....Batangas";77615;35455;8924;30478;3;2535;215;5;0;0
"Rent house/room including lot";"....Cavite";229776;98364;28436;94967;475;6948;562;24;0;0
"Rent house/room including lot";"....Laguna";189840;79108;17578;88765;103;4085;199;2;0;0
"Rent house/room including lot";"....Quezon *";24779;16521;2538;4937;0;621;159;3;0;0
"Rent house/room including lot";"....Rizal";135054;77512;9583;43718;692;3248;289;11;0;1
"Rent house/room including lot";"....City of Lucena";9164;5469;838;2596;0;235;25;1;0;0
"Rent house/room including lot";"..MIMAROPA REGION";39471;28556;2392;6701;11;1467;289;55;0;0
"Rent house/room including lot";"....Marinduque";1453;1157;86;160;0;39;11;0;0;0
"Rent house/room including lot";"....Occidental Mindoro";5263;4166;333;539;0;203;21;1;0;0
"Rent house/room including lot";"....Oriental Mindoro";8964;5613;787;2321;0;130;103;10;0;0
"Rent house/room including lot";"....Palawan *";8402;6772;347;884;0;287;105;7;0;0
"Rent house/room including lot";"....Romblon";1741;1339;119;223;0;48;8;4;0;0
"Rent house/room including lot";"....City of Puerto Princesa";13648;9509;720;2574;11;760;41;33;0;0
"Rent house/room including lot";"..REGION V (BICOL REGION)";43544;32352;2886;6604;11;1212;431;48;0;0
"Rent house/room including lot";"....Albay";10484;8431;592;1132;11;263;41;14;0;0
"Rent house/room including lot";"....Camarines Norte";6592;4620;510;1254;0;123;83;2;0;0
"Rent house/room including lot";"....Camarines Sur";15041;9731;1202;3280;0;620;198;10;0;0
"Rent house/room including lot";"....Catanduanes";1882;1709;59;83;0;3;14;14;0;0
"Rent house/room including lot";"....Masbate";4495;3784;240;318;0;115;36;2;0;0
"Rent house/room including lot";"....Sorsogon";5050;4077;283;537;0;88;59;6;0;0
"Rent house/room including lot";"..REGION VI (WESTERN VISAYAS)";41742;33402;1858;4769;28;1201;426;58;0;0
"Rent house/room including lot";"....Aklan";3523;2756;179;482;0;56;45;5;0;0
"Rent house/room including lot";"....Antique";1387;1141;63;95;1;46;41;0;0;0
"Rent house/room including lot";"....Capiz";2343;1540;164;534;2;78;21;4;0;0
"Rent house/room including lot";"....Guimaras";322;280;3;28;0;3;8;0;0;0
"Rent house/room including lot";"....Iloilo *";4926;3963;197;576;0;127;51;12;0;0
"Rent house/room including lot";"....Negros Occidental *";8131;7225;343;302;0;194;64;3;0;0
"Rent house/room including lot";"....City of Bacolod";12129;9866;447;1263;3;439;91;20;0;0
"Rent house/room including lot";"....City of Iloilo";8981;6631;462;1489;22;258;105;14;0;0
"Rent house/room including lot";"..REGION VII (CENTRAL VISAYAS)";171251;118710;8896;31443;1081;10708;351;62;0;0
"Rent house/room including lot";"....Bohol";7966;6134;471;842;0;449;54;16;0;0
"Rent house/room including lot";"....Cebu *";46467;32391;3435;8461;4;2087;82;7;0;0
"Rent house/room including lot";"....Negros Oriental";11321;8905;626;1044;6;689;33;18;0;0
"Rent house/room including lot";"....Siquijor";596;545;5;27;0;1;18;0;0;0
"Rent house/room including lot";"....City of Cebu";44019;30927;2069;7527;656;2726;97;17;0;0
"Rent house/room including lot";"....City of Lapu-Lapu (Opon)";28087;16553;1239;7648;52;2566;26;3;0;0
"Rent house/room including lot";"....City of Mandaue";32795;23255;1051;5894;363;2190;41;1;0;0
"Rent house/room including lot";"..REGION VIII (EASTERN VISAYAS)";24980;19178;1415;3370;0;792;200;25;0;0
"Rent house/room including lot";"....Biliran";1156;921;38;173;0;12;12;0;0;0
"Rent house/room including lot";"....Eastern Samar";2276;1926;84;207;0;43;16;0;0;0
"Rent house/room including lot";"....Leyte *";9777;7417;635;1273;0;364;77;11;0;0
"Rent house/room including lot";"....Northern Samar";2250;2046;68;71;0;41;16;8;0;0
"Rent house/room including lot";"....Samar (Western Samar)";3229;2315;231;491;0;174;16;2;0;0
"Rent house/room including lot";"....Southern Leyte";2641;2068;167;337;0;39;28;2;0;0
"Rent house/room including lot";"....City of Tacloban";3651;2485;192;818;0;119;35;2;0;0
"Rent house/room including lot";"..REGION IX (ZAMBOANGA PENINSULA)";37449;27692;2277;5055;0;2175;215;33;0;2
"Rent house/room including lot";"....Zamboanga del Norte";7854;5672;437;1527;0;184;23;11;0;0
"Rent house/room including lot";"....Zamboanga del Sur *";7476;6584;163;418;0;266;45;0;0;0
"Rent house/room including lot";"....Zamboanga Sibugay";3416;2573;265;128;0;353;79;18;0;0
"Rent house/room including lot";"....City of Isabela **";589;476;44;9;0;58;2;0;0;0
"Rent house/room including lot";"....City of Zamboanga";18114;12387;1368;2973;0;1314;66;4;0;2
"Rent house/room including lot";"..REGION X (NORTHERN MINDANAO)";67033;53680;3208;6689;32;2983;401;39;0;1
"Rent house/room including lot";"....Bukidnon";13227;11269;569;740;0;487;133;28;0;1
"Rent house/room including lot";"....Camiguin";769;735;14;8;0;0;12;0;0;0
"Rent house/room including lot";"....Lanao del Norte *";2140;1794;120;145;0;47;34;0;0;0
"Rent house/room including lot";"....Misamis Occidental";5716;4294;357;838;0;205;20;2;0;0
"Rent house/room including lot";"....Misamis Oriental *";10481;8894;505;574;0;460;46;2;0;0
"Rent house/room including lot";"....City of Cagayan de Oro";25839;20297;1072;2981;32;1341;109;7;0;0
"Rent house/room including lot";"....City of Iligan";8861;6397;571;1403;0;443;47;0;0;0
"Rent house/room including lot";"..REGION XI (DAVAO REGION)";118746;96036;4546;11198;152;6059;610;145;0;0
"Rent house/room including lot";"....Davao de Oro (Compostela Valley)";5747;4432;317;504;2;409;81;2;0;0
"Rent house/room including lot";"....Davao del Norte";21850;16688;1085;2871;4;1070;98;34;0;0
"Rent house/room including lot";"....Davao del Sur *";10002;8244;312;1047;0;367;32;0;0;0
"Rent house/room including lot";"....Davao Occidental";770;733;1;0;0;16;6;14;0;0
"Rent house/room including lot";"....Davao Oriental";3311;2839;175;94;0;165;25;13;0;0
"Rent house/room including lot";"....City of Davao";77066;63100;2656;6682;146;4032;368;82;0;0
"Rent house/room including lot";"..REGION XII (SOCCSKSARGEN)";55975;39512;2517;12364;0;1175;348;59;0;0
"Rent house/room including lot";"....Cotabato (North Cotabato)";7375;5987;318;710;0;259;98;3;0;0
"Rent house/room including lot";"....Sarangani";2391;2096;74;121;0;88;11;1;0;0
"Rent house/room including lot";"....South Cotabato *";12910;9409;519;2540;0;370;72;0;0;0
"Rent house/room including lot";"....Sultan Kudarat";4174;3144;337;422;0;136;80;55;0;0
"Rent house/room including lot";"....City of General Santos (Dadiangas)";29125;18876;1269;8571;0;322;87;0;0;0
"Rent house/room including lot";"..REGION XIII (CARAGA)";25163;20726;1195;2180;0;859;146;57;0;0
"Rent house/room including lot";"....Agusan del Norte *";2781;2212;189;234;0;129;17;0;0;0
"Rent house/room including lot";"....Agusan del Sur";4766;4128;186;251;0;149;37;15;0;0
"Rent house/room including lot";"....Dinagat Islands";814;783;10;6;0;10;4;1;0;0
"Rent house/room including lot";"....Surigao del Norte";6208;5127;293;694;0;73;21;0;0;0
"Rent house/room including lot";"....Surigao del Sur";4735;3928;265;250;0;270;22;0;0;0
"Rent house/room including lot";"....City of Butuan";5859;4548;252;745;0;228;45;41;0;0
"Rent house/room including lot";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";5540;4067;303;753;0;250;166;1;0;0
"Rent house/room including lot";"....Basilan";315;284;16;15;0;0;0;0;0;0
"Rent house/room including lot";"....Lanao del Sur";905;772;38;48;0;43;4;0;0;0
"Rent house/room including lot";"....Maguindanao";3578;2353;235;645;0;202;142;1;0;0
"Rent house/room including lot";"....Sulu";304;265;2;18;0;4;15;0;0;0
"Rent house/room including lot";"....Tawi-Tawi";379;341;11;27;0;0;0;0;0;0
"Rent house/room including lot";"....Eight (8) Area Clusters ***";59;52;1;0;0;1;5;0;0;0
"Rent-free house and lot with consent of owner";"PHILIPPINES /a";1734387;1448569;70467;125250;7120;61862;19703;1408;0;8
"Rent-free house and lot with consent of owner";"..NATIONAL CAPITAL REGION (NCR)";305047;205753;11657;38184;6091;34064;8928;367;0;3
"Rent-free house and lot with consent of owner";"....City of Manila";53685;31441;1557;3497;1177;15030;876;107;0;0
"Rent-free house and lot with consent of owner";"....City of Mandaluyong";13353;8270;332;1020;616;2830;268;17;0;0
