"Total Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0021A6DPAG0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"""Geographic Location"";""Both Sexes All Ages"";""Both Sexes Below 5"";""Both Sexes 5-9"";""Both Sexes 10-14"";""Both Sexes 15-19"";""Both Sexes 20-24"";""Both Sexes 25-29"";""Both Sexes 30-34"";""Both Sexes 35-39"";""Both Sexes 40-44"";""Both Sexes 45-49"";""Both Sexes 50-54"";""Both Sexes 55-59"";""Both Sexes 60-64"";""Both Sexes 65-69"";""Both Sexes 70-74"";""Both Sexes 75-79"";""Both Sexes 80 years old and over"";""Male All Ages"";""Male Below 5"";""Male 5-9"";""Male 10-14"";""Male 15-19"";""Male 20-24"";""Male 25-29"";""Male 30-34"";""Male 35-39"";""Male 40-44"";""Male 45-49"";""Male 50-54"";""Male 55-59"";""Male 60-64"";""Male 65-69"";""Male 70-74"";""Male 75-79"";""Male 80 years old and over"";""Female All Ages"";""Female Below 5"";""Female 5-9"";""Female 10-14"";""Female 15-19"";""Female 20-24"";""Female 25-29"";""Female 30-34"";""Female 35-39"";""Female 40-44"";""Female 45-49"";""Female 50-54"";""Female 55-59"";""Female 60-64"";""Female 65-69"";""Female 70-74"";""Female 75-79"";""Female 80 years old and over"""
"  ""....Pampanga *"";2437709;230666;229819;234564;230651;234572;211150;186139;165980;155012;131315;120216;95442;77100;54007;38764;20805;21507;1240359;119071;119066;121837;118776;120564;108188;95295;84475;79271;67460;61022;48257;38126;25677;17406;8496;7372;1197350;111595;110753;112727;111875;114008;102962;90844;81505;75741;63855;59194;47185;38974;28330;21358;12309;14135"
"  ""....Tarlac"";1503456;147425;152170;152410;140022;133356;121889;108689;98495;90979;80927;73553;60803;50037;35934;26141;14882;15744;766223;76233;79507;79157;72482;68983;62944;55834;50394;46801;41826;37306;30810;24684;16816;11472;5873;5101;737233;71192;72663;73253;67540;64373;58945;52855;48101;44178;39101;36247;29993;25353;19118;14669;9009;10643"
"  ""....Zambales *"";649615;59914;65386;65448;61625;57522;51151;48256;43272;38423;34200;32500;27597;22860;16458;11770;6279;6954;329695;31199;34079;33652;31945;29618;26250;24740;21940;19615;17584;16493;13908;11265;7662;5189;2420;2136;319920;28715;31307;31796;29680;27904;24901;23516;21332;18808;16616;16007;13689;11595;8796;6581;3859;4818"
"  ""....City of Angeles"";462928;49742;45037;42530;41832;47780;45425;38811;33074;28688;22698;19832;15837;12519;8203;5529;2685;2706;231679;25374;23289;21963;21244;23667;22160;19182;16450;14518;11556;9816;7924;6119;3846;2538;1108;925;231249;24368;21748;20567;20588;24113;23265;19629;16624;14170;11142;10016;7913;6400;4357;2991;1577;1781"
"  ""....City of Olongapo"";260317;22703;23056;23180;24255;27153;24186;21199;17610;15870;14319;12777;10594;8332;6208;4425;2272;2178;129907;11824;11921;11922;12474;13802;12229;10751;8716;7850;7233;6311;5055;3910;2658;1774;837;640;130410;10879;11135;11258;11781;13351;11957;10448;8894;8020;7086;6466;5539;4422;3550;2651;1435;1538"
"  ""..REGION IV-A (CALABARZON)"";16195042;1553295;1572079;1550453;1474716;1511748;1433847;1299787;1183643;1066537;873461;760023;620045;500453;344340;217671;117824;115120;8157927;802193;816530;801532;757016;771183;727707;663060;597645;539262;442550;377602;302413;237139;154973;90165;42958;33999;8037115;751102;755549;748921;717700;740565;706140;636727;585998;527275;430911;382421;317632;263314;189367;127506;74866;81121"
"  ""....Batangas"";2908494;275907;275430;274122;272757;278414;258252;222327;205927;185925;156494;136704;109361;90404;66029;45969;26339;28133;1464312;143031;143842;142390;140476;142002;130743;113055;103864;94493;79401;68457;53996;43187;29427;18456;9316;8176;1444182;132876;131588;131732;132281;136412;127509;109272;102063;91432;77093;68247;55365;47217;36602;27513;17023;19957"
"  ""....Cavite"";4344829;401628;404867;400060;383093;408214;392983;367147;335404;298930;241479;208129;168756;132471;88110;55806;28760;28992;2181053;207721;210466;206632;196174;208118;199845;186641;168443;149427;121005;102093;81039;61695;39435;23073;10543;8703;2163776;193907;194401;193428;186919;200096;193138;180506;166961;149503;120474;106036;87717;70776;48675;32733;18217;20289"
"  ""....Laguna"";3382193;312103;316735;309422;290445;319606;321848;288495;259885;231792;182378;157220;128661;104978;71946;42965;22586;21128;1699576;161531;164073;160138;149541;162088;162346;147183;130814;116750;92509;77716;61575;49316;32034;17766;8174;6022;1682617;150572;152662;149284;140904;157518;159502;141312;129071;115042;89869;79504;67086;55662;39912;25199;14412;15106"
"  ""....Quezon *"";1950459;200900;210470;213205;196683;170507;148723;132415;119486;111908;99411;92277;78801;65111;46153;29299;17896;17214;993305;103419;109091;109905;101397;88437;76383;68203;61699;57981;51402;47243;40227;32096;21650;12424;6599;5149;957154;97481;101379;103300;95286;82070;72340;64212;57787;53927;48009;45034;38574;33015;24503;16875;11297;12065"
"  ""....Rizal"";3330143;332966;335470;325087;304610;307939;288681;269529;245113;221576;179744;152940;123691;98898;66038;39965;20206;17690;1680239;171026;174068;167819;155702;156764;146435;137967;123803;112404;91267;75963;60314;46810;29794;17018;7650;5435;1649904;161940;161402;157268;148908;151175;142246;131562;121310;109172;88477;76977;63377;52088;36244;22947;12556;12255"
"  ""....City of Lucena"";278924;29791;29107;28557;27128;27068;23360;19874;17828;16406;13955;12753;10775;8591;6064;3667;2037;1963;139442;15465;14990;14648;13726;13774;11955;10011;9022;8207;6966;6130;5262;4035;2633;1428;676;514;139482;14326;14117;13909;13402;13294;11405;9863;8806;8199;6989;6623;5513;4556;3431;2239;1361;1449"
"  ""..MIMAROPA REGION"";3228558;332073;356218;357972;339057;295056;253990;220795;199894;181006;160250;140783;118630;97817;69766;47291;29082;28878;1652942;171928;184518;185084;173268;151978;130080;114084;104071;95121;84194;73062;60982;48828;33448;20944;11801;9551;1575616;160145;171700;172888;165789;143078;123910;106711;95823;85885;76056;67721;57648;48989;36318;26347;17281;19327"
