"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""35-39"";845574",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""40-44"";781071",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""45-49"";667906",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""50-54"";610831",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""55-59"";497681",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""60-64"";403317",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""65-69"";282716",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""70-74"";193782",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""75-79"";106346",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""80 years old and over"";109480",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""All Ages"";6300189",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""Below 5"";615231",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""5-9"";631437",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""10-14"";631564",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""15-19"";593876",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""20-24"";593274",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""25-29"";541255",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""30-34"";478107",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""35-39"";429002",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""40-44"";398314",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""45-49"";340960",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""50-54"";308902",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""55-59"";248821",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""60-64"";196377",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""65-69"";131733",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""70-74"";84281",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""75-79"";41742",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Male"";""80 years old and over"";35313",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""All Ages"";6121983",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""Below 5"";573794",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""5-9"";580954",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""10-14"";587252",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""15-19"";560721",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""20-24"";562950",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""25-29"";515965",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""30-34"";457088",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""35-39"";416572",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""40-44"";382757",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""45-49"";326946",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""50-54"";301929",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""55-59"";248860",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""60-64"";206940",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""65-69"";150983",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""70-74"";109501",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""75-79"";64604",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Female"";""80 years old and over"";74167",,,,
"Total Population;""....Aurora"";""Both Sexes"";""All Ages"";235750",,,,
"Total Population;""....Aurora"";""Both Sexes"";""Below 5"";23603",,,,
"Total Population;""....Aurora"";""Both Sexes"";""5-9"";25017",,,,
"Total Population;""....Aurora"";""Both Sexes"";""10-14"";25460",,,,
"Total Population;""....Aurora"";""Both Sexes"";""15-19"";23824",,,,
"Total Population;""....Aurora"";""Both Sexes"";""20-24"";21306",,,,
"Total Population;""....Aurora"";""Both Sexes"";""25-29"";18735",,,,
"Total Population;""....Aurora"";""Both Sexes"";""30-34"";16864",,,,
"Total Population;""....Aurora"";""Both Sexes"";""35-39"";14518",,,,
"Total Population;""....Aurora"";""Both Sexes"";""40-44"";13335",,,,
"Total Population;""....Aurora"";""Both Sexes"";""45-49"";12468",,,,
"Total Population;""....Aurora"";""Both Sexes"";""50-54"";11054",,,,
"Total Population;""....Aurora"";""Both Sexes"";""55-59"";9246",,,,
"Total Population;""....Aurora"";""Both Sexes"";""60-64"";7521",,,,
"Total Population;""....Aurora"";""Both Sexes"";""65-69"";5308",,,,
"Total Population;""....Aurora"";""Both Sexes"";""70-74"";3448",,,,
"Total Population;""....Aurora"";""Both Sexes"";""75-79"";2043",,,,
"Total Population;""....Aurora"";""Both Sexes"";""80 years old and over"";2000",,,,
"Total Population;""....Aurora"";""Male"";""All Ages"";120954",,,,
"Total Population;""....Aurora"";""Male"";""Below 5"";12135",,,,
"Total Population;""....Aurora"";""Male"";""5-9"";13004",,,,
"Total Population;""....Aurora"";""Male"";""10-14"";13200",,,,
"Total Population;""....Aurora"";""Male"";""15-19"";12185",,,,
"Total Population;""....Aurora"";""Male"";""20-24"";10981",,,,
"Total Population;""....Aurora"";""Male"";""25-29"";9645",,,,
"Total Population;""....Aurora"";""Male"";""30-34"";8788",,,,
"Total Population;""....Aurora"";""Male"";""35-39"";7574",,,,
"Total Population;""....Aurora"";""Male"";""40-44"";6909",,,,
"Total Population;""....Aurora"";""Male"";""45-49"";6460",,,,
"Total Population;""....Aurora"";""Male"";""50-54"";5779",,,,
"Total Population;""....Aurora"";""Male"";""55-59"";4906",,,,
"Total Population;""....Aurora"";""Male"";""60-64"";3758",,,,
"Total Population;""....Aurora"";""Male"";""65-69"";2575",,,,
"Total Population;""....Aurora"";""Male"";""70-74"";1546",,,,
"Total Population;""....Aurora"";""Male"";""75-79"";833",,,,
"Total Population;""....Aurora"";""Male"";""80 years old and over"";676",,,,
"Total Population;""....Aurora"";""Female"";""All Ages"";114796",,,,
"Total Population;""....Aurora"";""Female"";""Below 5"";11468",,,,
"Total Population;""....Aurora"";""Female"";""5-9"";12013",,,,
"Total Population;""....Aurora"";""Female"";""10-14"";12260",,,,
"Total Population;""....Aurora"";""Female"";""15-19"";11639",,,,
"Total Population;""....Aurora"";""Female"";""20-24"";10325",,,,
"Total Population;""....Aurora"";""Female"";""25-29"";9090",,,,
"Total Population;""....Aurora"";""Female"";""30-34"";8076",,,,
"Total Population;""....Aurora"";""Female"";""35-39"";6944",,,,
"Total Population;""....Aurora"";""Female"";""40-44"";6426",,,,
"Total Population;""....Aurora"";""Female"";""45-49"";6008",,,,
"Total Population;""....Aurora"";""Female"";""50-54"";5275",,,,
"Total Population;""....Aurora"";""Female"";""55-59"";4340",,,,
"Total Population;""....Aurora"";""Female"";""60-64"";3763",,,,
"Total Population;""....Aurora"";""Female"";""65-69"";2733",,,,
"Total Population;""....Aurora"";""Female"";""70-74"";1902",,,,
"Total Population;""....Aurora"";""Female"";""75-79"";1210",,,,
"Total Population;""....Aurora"";""Female"";""80 years old and over"";1324",,,,
"Total Population;""....Bataan"";""Both Sexes"";""All Ages"";853373",,,,
"Total Population;""....Bataan"";""Both Sexes"";""Below 5"";85731",,,,
"Total Population;""....Bataan"";""Both Sexes"";""5-9"";85490",,,,
"Total Population;""....Bataan"";""Both Sexes"";""10-14"";84430",,,,
"Total Population;""....Bataan"";""Both Sexes"";""15-19"";78062",,,,
"Total Population;""....Bataan"";""Both Sexes"";""20-24"";79441",,,,
"Total Population;""....Bataan"";""Both Sexes"";""25-29"";71540",,,,
"Total Population;""....Bataan"";""Both Sexes"";""30-34"";64309",,,,
"Total Population;""....Bataan"";""Both Sexes"";""35-39"";59064",,,,
"Total Population;""....Bataan"";""Both Sexes"";""40-44"";53252",,,,
"Total Population;""....Bataan"";""Both Sexes"";""45-49"";43943",,,,
"Total Population;""....Bataan"";""Both Sexes"";""50-54"";40345",,,,
"Total Population;""....Bataan"";""Both Sexes"";""55-59"";33930",,,,
"Total Population;""....Bataan"";""Both Sexes"";""60-64"";28666",,,,
"Total Population;""....Bataan"";""Both Sexes"";""65-69"";20103",,,,
"Total Population;""....Bataan"";""Both Sexes"";""70-74"";12960",,,,
"Total Population;""....Bataan"";""Both Sexes"";""75-79"";5899",,,,
"Total Population;""....Bataan"";""Both Sexes"";""80 years old and over"";6208",,,,
"Total Population;""....Bataan"";""Male"";""All Ages"";431839",,,,
"Total Population;""....Bataan"";""Male"";""Below 5"";44160",,,,
"Total Population;""....Bataan"";""Male"";""5-9"";44333",,,,
"Total Population;""....Bataan"";""Male"";""10-14"";43729",,,,
"Total Population;""....Bataan"";""Male"";""15-19"";40251",,,,
"Total Population;""....Bataan"";""Male"";""20-24"";41237",,,,
"Total Population;""....Bataan"";""Male"";""25-29"";36536",,,,
"Total Population;""....Bataan"";""Male"";""30-34"";32915",,,,
"Total Population;""....Bataan"";""Male"";""35-39"";29811",,,,
"Total Population;""....Bataan"";""Male"";""40-44"";26858",,,,
"Total Population;""....Bataan"";""Male"";""45-49"";22268",,,,
"Total Population;""....Bataan"";""Male"";""50-54"";20011",,,,
"Total Population;""....Bataan"";""Male"";""55-59"";16641",,,,
"Total Population;""....Bataan"";""Male"";""60-64"";13728",,,,
"Total Population;""....Bataan"";""Male"";""65-69"";9212",,,,
"Total Population;""....Bataan"";""Male"";""70-74"";5792",,,,
"Total Population;""....Bataan"";""Male"";""75-79"";2347",,,,
"Total Population;""....Bataan"";""Male"";""80 years old and over"";2010",,,,
"Total Population;""....Bataan"";""Female"";""All Ages"";421534",,,,
"Total Population;""....Bataan"";""Female"";""Below 5"";41571",,,,
"Total Population;""....Bataan"";""Female"";""5-9"";41157",,,,
"Total Population;""....Bataan"";""Female"";""10-14"";40701",,,,
"Total Population;""....Bataan"";""Female"";""15-19"";37811",,,,
"Total Population;""....Bataan"";""Female"";""20-24"";38204",,,,
"Total Population;""....Bataan"";""Female"";""25-29"";35004",,,,
"Total Population;""....Bataan"";""Female"";""30-34"";31394",,,,
"Total Population;""....Bataan"";""Female"";""35-39"";29253",,,,
"Total Population;""....Bataan"";""Female"";""40-44"";26394",,,,
"Total Population;""....Bataan"";""Female"";""45-49"";21675",,,,
"Total Population;""....Bataan"";""Female"";""50-54"";20334",,,,
"Total Population;""....Bataan"";""Female"";""55-59"";17289",,,,
"Total Population;""....Bataan"";""Female"";""60-64"";14938",,,,
"Total Population;""....Bataan"";""Female"";""65-69"";10891",,,,
"Total Population;""....Bataan"";""Female"";""70-74"";7168",,,,
"Total Population;""....Bataan"";""Female"";""75-79"";3552",,,,
"Total Population;""....Bataan"";""Female"";""80 years old and over"";4198",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""All Ages"";3708890",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""Below 5"";346709",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""5-9"";358816",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""10-14"";362184",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""15-19"";341838",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""20-24"";349780",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""25-29"";321451",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""30-34"";282765",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""35-39"";259439",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""40-44"";241921",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""45-49"";202102",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""50-54"";183863",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""55-59"";147289",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""60-64"";117869",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""65-69"";81532",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""70-74"";53806",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""75-79"";28727",,,,
"Total Population;""....Bulacan"";""Both Sexes"";""80 years old and over"";28799",,,,
"Total Population;""....Bulacan"";""Male"";""All Ages"";1877619",,,,
"Total Population;""....Bulacan"";""Male"";""Below 5"";180284",,,,
"Total Population;""....Bulacan"";""Male"";""5-9"";187566",,,,
"Total Population;""....Bulacan"";""Male"";""10-14"";187391",,,,
"Total Population;""....Bulacan"";""Male"";""15-19"";175308",,,,
"Total Population;""....Bulacan"";""Male"";""20-24"";179055",,,,
"Total Population;""....Bulacan"";""Male"";""25-29"";165139",,,,
"Total Population;""....Bulacan"";""Male"";""30-34"";144572",,,,
"Total Population;""....Bulacan"";""Male"";""35-39"";131312",,,,
"Total Population;""....Bulacan"";""Male"";""40-44"";122892",,,,
"Total Population;""....Bulacan"";""Male"";""45-49"";102202",,,,
"Total Population;""....Bulacan"";""Male"";""50-54"";92845",,,,
"Total Population;""....Bulacan"";""Male"";""55-59"";72570",,,,
"Total Population;""....Bulacan"";""Male"";""60-64"";56319",,,,
"Total Population;""....Bulacan"";""Male"";""65-69"";37389",,,,
"Total Population;""....Bulacan"";""Male"";""70-74"";22689",,,,
"Total Population;""....Bulacan"";""Male"";""75-79"";10984",,,,
"Total Population;""....Bulacan"";""Male"";""80 years old and over"";9102",,,,
"Total Population;""....Bulacan"";""Female"";""All Ages"";1831271",,,,
"Total Population;""....Bulacan"";""Female"";""Below 5"";166425",,,,
"Total Population;""....Bulacan"";""Female"";""5-9"";171250",,,,
"Total Population;""....Bulacan"";""Female"";""10-14"";174793",,,,
"Total Population;""....Bulacan"";""Female"";""15-19"";166530",,,,
"Total Population;""....Bulacan"";""Female"";""20-24"";170725",,,,
"Total Population;""....Bulacan"";""Female"";""25-29"";156312",,,,
"Total Population;""....Bulacan"";""Female"";""30-34"";138193",,,,
"Total Population;""....Bulacan"";""Female"";""35-39"";128127",,,,
"Total Population;""....Bulacan"";""Female"";""40-44"";119029",,,,
"Total Population;""....Bulacan"";""Female"";""45-49"";99900",,,,
"Total Population;""....Bulacan"";""Female"";""50-54"";91018",,,,
"Total Population;""....Bulacan"";""Female"";""55-59"";74719",,,,
"Total Population;""....Bulacan"";""Female"";""60-64"";61550",,,,
"Total Population;""....Bulacan"";""Female"";""65-69"";44143",,,,
"Total Population;""....Bulacan"";""Female"";""70-74"";31117",,,,
"Total Population;""....Bulacan"";""Female"";""75-79"";17743",,,,
"Total Population;""....Bulacan"";""Female"";""80 years old and over"";19697",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""All Ages"";2310134",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""Below 5"";222532",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""5-9"";227600",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""10-14"";228610",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""15-19"";212488",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""20-24"";205314",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""25-29"";191693",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""30-34"";168163",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""35-39"";154122",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""40-44"";143591",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""45-49"";125934",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""50-54"";116691",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""55-59"";96943",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""60-64"";78413",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""65-69"";54963",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""70-74"";36939",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""75-79"";22754",,,,
"Total Population;""....Nueva Ecija"";""Both Sexes"";""80 years old and over"";23384",,,,
"Total Population;""....Nueva Ecija"";""Male"";""All Ages"";1171914",,,,
"Total Population;""....Nueva Ecija"";""Male"";""Below 5"";114951",,,,
"Total Population;""....Nueva Ecija"";""Male"";""5-9"";118672",,,,
"Total Population;""....Nueva Ecija"";""Male"";""10-14"";118713",,,,
"Total Population;""....Nueva Ecija"";""Male"";""15-19"";109211",,,,
"Total Population;""....Nueva Ecija"";""Male"";""20-24"";105367",,,,
"Total Population;""....Nueva Ecija"";""Male"";""25-29"";98164",,,,
"Total Population;""....Nueva Ecija"";""Male"";""30-34"";86030",,,,
"Total Population;""....Nueva Ecija"";""Male"";""35-39"";78330",,,,
"Total Population;""....Nueva Ecija"";""Male"";""40-44"";73600",,,,
"Total Population;""....Nueva Ecija"";""Male"";""45-49"";64371",,,,
"Total Population;""....Nueva Ecija"";""Male"";""50-54"";59319",,,,
"Total Population;""....Nueva Ecija"";""Male"";""55-59"";48750",,,,
"Total Population;""....Nueva Ecija"";""Male"";""60-64"";38468",,,,
"Total Population;""....Nueva Ecija"";""Male"";""65-69"";25898",,,,
"Total Population;""....Nueva Ecija"";""Male"";""70-74"";15875",,,,
"Total Population;""....Nueva Ecija"";""Male"";""75-79"";8844",,,,
"Total Population;""....Nueva Ecija"";""Male"";""80 years old and over"";7351",,,,
"Total Population;""....Nueva Ecija"";""Female"";""All Ages"";1138220",,,,
"Total Population;""....Nueva Ecija"";""Female"";""Below 5"";107581",,,,
"Total Population;""....Nueva Ecija"";""Female"";""5-9"";108928",,,,
