"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""....City of Marikina"";""Both Sexes"";""55-59"";19148",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""60-64"";15801",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""65-69"";11171",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""70-74"";7419",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""75-79"";3789",,,,
"Total Population;""....City of Marikina"";""Both Sexes"";""80 years old and over"";4427",,,,
"Total Population;""....City of Marikina"";""Male"";""All Ages"";226189",,,,
"Total Population;""....City of Marikina"";""Male"";""Below 5"";21808",,,,
"Total Population;""....City of Marikina"";""Male"";""5-9"";21934",,,,
"Total Population;""....City of Marikina"";""Male"";""10-14"";21502",,,,
"Total Population;""....City of Marikina"";""Male"";""15-19"";19605",,,,
"Total Population;""....City of Marikina"";""Male"";""20-24"";20686",,,,
"Total Population;""....City of Marikina"";""Male"";""25-29"";20303",,,,
"Total Population;""....City of Marikina"";""Male"";""30-34"";18606",,,,
"Total Population;""....City of Marikina"";""Male"";""35-39"";16059",,,,
"Total Population;""....City of Marikina"";""Male"";""40-44"";14799",,,,
"Total Population;""....City of Marikina"";""Male"";""45-49"";12710",,,,
"Total Population;""....City of Marikina"";""Male"";""50-54"";11256",,,,
"Total Population;""....City of Marikina"";""Male"";""55-59"";9045",,,,
"Total Population;""....City of Marikina"";""Male"";""60-64"";7281",,,,
"Total Population;""....City of Marikina"";""Male"";""65-69"";4816",,,,
"Total Population;""....City of Marikina"";""Male"";""70-74"";3009",,,,
"Total Population;""....City of Marikina"";""Male"";""75-79"";1357",,,,
"Total Population;""....City of Marikina"";""Male"";""80 years old and over"";1413",,,,
"Total Population;""....City of Marikina"";""Female"";""All Ages"";229870",,,,
"Total Population;""....City of Marikina"";""Female"";""Below 5"";20356",,,,
"Total Population;""....City of Marikina"";""Female"";""5-9"";20393",,,,
"Total Population;""....City of Marikina"";""Female"";""10-14"";19763",,,,
"Total Population;""....City of Marikina"";""Female"";""15-19"";18818",,,,
"Total Population;""....City of Marikina"";""Female"";""20-24"";20278",,,,
"Total Population;""....City of Marikina"";""Female"";""25-29"";20333",,,,
"Total Population;""....City of Marikina"";""Female"";""30-34"";17902",,,,
"Total Population;""....City of Marikina"";""Female"";""35-39"";16342",,,,
"Total Population;""....City of Marikina"";""Female"";""40-44"";15023",,,,
"Total Population;""....City of Marikina"";""Female"";""45-49"";13650",,,,
"Total Population;""....City of Marikina"";""Female"";""50-54"";12178",,,,
"Total Population;""....City of Marikina"";""Female"";""55-59"";10103",,,,
"Total Population;""....City of Marikina"";""Female"";""60-64"";8520",,,,
"Total Population;""....City of Marikina"";""Female"";""65-69"";6355",,,,
"Total Population;""....City of Marikina"";""Female"";""70-74"";4410",,,,
"Total Population;""....City of Marikina"";""Female"";""75-79"";2432",,,,
"Total Population;""....City of Marikina"";""Female"";""80 years old and over"";3014",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""All Ages"";803159",,,,
