"Number of Workers Who Received Cash and Non-Cash Productivity-Based Incentives in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: 2015"

"Type of workers";"Major Industry Group";"Cash and Non-Cash Productivity-Based Incentives";"2015"
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Number of Workers Who Received Cash and Non-Cash Incentives";2608
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Cash Incentives";2052
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Below P5,000";1088
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P5,000-P9,999";303
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P10,000-P14,999";127
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P15,000-P19,999";171
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P20,000 and Over";363
"Supervisors";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Non-Cash Incentives";556
"Supervisors";"..Transportation and Storage";"Total Number of Workers Who Received Cash and Non-Cash Incentives";903
"Supervisors";"..Transportation and Storage";"..Number of Workers Who Received Cash Incentives";628
"Supervisors";"..Transportation and Storage";"....Below P5,000";92
"Supervisors";"..Transportation and Storage";"....P5,000-P9,999";205
"Supervisors";"..Transportation and Storage";"....P10,000-P14,999";131
"Supervisors";"..Transportation and Storage";"....P15,000-P19,999";13
"Supervisors";"..Transportation and Storage";"....P20,000 and Over";186
"Supervisors";"..Transportation and Storage";"..Number of Workers Who Received Non-Cash Incentives";275
"Supervisors";"..Accommodation and Food Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1179
"Supervisors";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Cash Incentives";668
"Supervisors";"..Accommodation and Food Service Activities";"....Below P5,000";323
"Supervisors";"..Accommodation and Food Service Activities";"....P5,000-P9,999";172
